[s]	o	p
gcmin:marcasite	rdfs:label	Marcasite
gcmin:marcasite	skos:exactMatch	<https://www.mindat.org/1:1:2571:9>
gcmin:marcasite	gcmin:rruffchemistry	FeS<sub>2</sub>
gcmin:marcasite	skos:broader	gcmin:ironsulfide
gcmin:marcasite	skos:exactMatch	<http://www.wikidata.org/entity/Q409087>
gcmin:melanterite	skos:exactMatch	<https://www.mindat.org/1:1:2633:4>
gcmin:melanterite	gcmin:webmineralurl	http://www.webmineral.com/data/Melanterite.shtml
gcmin:melanterite	skos:exactMatch	gsqmin:melanterite
gcmin:melanterite	gcmin:strunzcodeV10	07.CB.35
gcmin:melanterite	gcmin:rruffnameplain	Melanterite
gcmin:melanterite	gcmin:chemistryelements	Fe | S | O | H
gcmin:melanterite	gcmin:wikipediadate	1832
gcmin:melanterite	gcmin:mindatid	min-2633
gcmin:melanterite	rdfs:label	Melanterite
gcmin:melanterite	skos:inScheme	gcmin:conceptScheme
gcmin:melanterite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/melanterite.pdf
gcmin:melanterite	gcmin:imastatus	Grandfathered|Approved
gcmin:melanterite	gcmin:imachemistry	Fe(SO<sub>4</sub>)?7H<sub>2</sub>O
gcmin:melanterite	gcmin:rruffnamehtml	Melanterite
gcmin:melanterite	gcmin:localitycount	1094
gcmin:melanterite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29309>
gcmin:melanterite	gcmin:crystalsystem	monoclinic
gcmin:melanterite	gcmin:rruffchemistry	Fe<sup>2+</sup>S<sup>6+</sup>O<sub>4</sub>?7H<sub>2</sub>O
gcmin:melanterite	gcmin:fleischersgroup	melanterite
gcmin:melanterite	skos:prefLabel	Melanterite
gcmin:melanterite	gcmin:structuralgroup	Melanterite
gcmin:melanterite	skos:exactMatch	<http://www.wikidata.org/entity/Q410267>
gcmin:melanterite	rdf:type	skos:Concept
gcmin:melanterite	gcmin:strunzlabel	"Sulfate, selenate, etc. without additional anions, with H2O, With only medium-sized cations"
gcmin:melanterite	gcmin:mindaturl	http://www.mindat.org/min-2633.html
gcmin:melanterite	gcmin:iupacchemname	IUPAC: IronII sulfate heptahydrate
gcmin:melanterite	gcmin:statusnotes	"Mineral name, or its predecessor melanteria, has been known since antiquity and predates any formal descriptive publication. For example: Dioscorides P (50) De melanteria, in De Materia Medica Libri V., Froben [1557] (Basileae) 454-455 The name melanterite is adopted: Haidinger W (1845) Erste Klasse: Akrogenide. IV. Ordnung. Salze. VII. Vitriolsalz. Melanterit., in Handbuch der Bestimmenden Mineralogie, Bei Braum?ller and Seidel (Wien) 487-492"
gcmin:mercury	gcmin:chemistryelements	Hg
gcmin:mercury	rdf:type	skos:Concept
gcmin:mercury	gcmin:imastatus	Grandfathered|Approved
gcmin:mercury	gcmin:rruffnameplain	Mercury
gcmin:mercury	gcmin:mindatid	min-2647
gcmin:mercury	gcmin:mindaturl	http://www.mindat.org/min-2647.html
gcmin:mercury	skos:prefLabel	Mercury
gcmin:mercury	gcmin:rruffids	R070277
gcmin:mercury	gcmin:strunzlabel	Mercury-amalgam family
gcmin:mercury	gcmin:statusnotes	Mineral name has been known since antiquity and predates any formal descriptive publication
gcmin:mercury	gcmin:rruffnamehtml	Mercury
gcmin:mercury	gcmin:strunzcodeV10	01.AD.05
gcmin:mercury	skos:inScheme	gcmin:conceptScheme
gcmin:mercury	skos:exactMatch	gsqmin:mercury
gcmin:mercury	rdfs:label	Mercury
gcmin:mercury	gcmin:imachemistry	Hg
gcmin:mercury	skos:broader	strunz:s01_AD
gcmin:mercury	gcmin:localitycount	447
gcmin:mercury	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/mercury.pdf
gcmin:mercury	skos:exactMatch	<https://www.mindat.org/1:1:2647:1>
gcmin:mercury	gcmin:webmineralurl	http://www.webmineral.com/data/Mercury.shtml
gcmin:mercury	gcmin:wikipediadate	old
gcmin:mercury	gcmin:rruffchemistry	Hg
gcmin:mesolite	rdf:type	skos:Concept
gcmin:mesolite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/mesolite.pdf
gcmin:mesolite	gcmin:wikipediadate	1813
gcmin:mesolite	gcmin:rruffnameplain	Mesolite
gcmin:mesolite	gcmin:rruffids	R040139 | R040140 | R050013
gcmin:mesolite	gcmin:fleischersgroup	zeolite
gcmin:mesolite	gcmin:localitycount	534
gcmin:mesolite	skos:exactMatch	<https://www.mindat.org/1:1:2657:0>
gcmin:mesolite	gcmin:rruffchemistry	Na<sub>2</sub>Ca<sub>2</sub>(Si<sub>9</sub>Al<sub>6</sub>)O<sub>30</sub>?8H<sub>2</sub>O
gcmin:mesolite	gcmin:mindaturl	http://www.mindat.org/min-2657.html
gcmin:mesolite	skos:inScheme	gcmin:conceptScheme
gcmin:mesolite	skos:prefLabel	Mesolite
gcmin:mesolite	gcmin:crystalsystem	orthorhombic
gcmin:mesolite	gcmin:imachemistry	Na<sub>2</sub>Ca<sub>2</sub>(Si<sub>9</sub>Al<sub>6</sub>)O<sub>30</sub>?8H<sub>2</sub>O
gcmin:mesolite	gcmin:chemistryelements	Na | Ca | Si | Al | O | H
gcmin:mesolite	rdfs:label	Mesolite
gcmin:mesolite	gcmin:webmineralurl	http://www.webmineral.com/data/Mesolite.shtml
gcmin:mesolite	skos:exactMatch	gsqmin:mesolite
gcmin:mesolite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29157>
gcmin:mesolite	gcmin:mindatid	min-2657
gcmin:mesolite	gcmin:strunzcodeV10	09.GA.05
gcmin:mesolite	gcmin:imastatus	Approved
gcmin:mesolite	skos:exactMatch	<http://www.wikidata.org/entity/Q422117>
gcmin:mesolite	gcmin:rruffnamehtml	Mesolite
gcmin:mesolite	gcmin:statusnotes	"Gehlen A F, Fuchs J N (1813) Ueber Werner's zeolith, Hauy's mesotype und stilbite, Journal f?r Chemie und Physik 8, 353-366"
gcmin:mesolite	gcmin:strunzlabel	Zeolite with T5O10áUnits û Fibrous Zeolite
gcmin:meta-autunite	gcmin:mindaturl	http://www.mindat.org/min-2662.html
gcmin:meta-autunite	gcmin:fleischersgroup	autunite
gcmin:meta-autunite	rdfs:label	Meta-autunite
gcmin:meta-autunite	gcmin:rruffnamehtml	Meta-autunite
gcmin:meta-autunite	gcmin:crystalsystem	tetragonal
gcmin:meta-autunite	gcmin:wikipediadate	1904
gcmin:meta-autunite	gcmin:structuralgroup	Meta-autunite
gcmin:meta-autunite	gcmin:rruffnameplain	Meta-autunite
gcmin:meta-autunite	gcmin:iupacchemname	IUPAC: Calcium diuranyl diphosphate hexahydrate
gcmin:meta-autunite	gcmin:rruffids	R050612 | R060434 | R060476
gcmin:meta-autunite	gcmin:localitycount	459
gcmin:meta-autunite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/metaautunite.pdf
gcmin:meta-autunite	gcmin:chemistryelements	Ca | U | O | P | H
gcmin:meta-autunite	skos:inScheme	gcmin:conceptScheme
gcmin:meta-autunite	skos:exactMatch	<http://www.wikidata.org/entity/Q286457>
gcmin:meta-autunite	gcmin:strunzcodeV10	08.EB.10
gcmin:meta-autunite	gcmin:rruffchemistry	Ca(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>?6H<sub>2</sub>O
gcmin:meta-autunite	gcmin:imachemistry	Ca(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>?6H<sub>2</sub>O
gcmin:meta-autunite	rdf:type	skos:Concept
gcmin:meta-autunite	skos:exactMatch	<https://www.mindat.org/1:1:2662:4>
gcmin:meta-autunite	gcmin:mindatid	min-2662
gcmin:meta-autunite	skos:prefLabel	Meta-autunite
gcmin:meta-autunite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29311>
gcmin:meta-autunite	gcmin:strunzlabel	"Uranyl phosphate or arsenate, UO2:RO4á= 1:1"
gcmin:meta-autunite	gcmin:imastatus	Grandfathered|Approved
gcmin:meta-autunite	skos:exactMatch	gsqmin:meta-autunite
gcmin:meta-autunite	gcmin:webmineralurl	http://www.webmineral.com/data/Meta-autunite.shtml
gcmin:meta-autunite	gcmin:statusnotes	"Originally named m?taautunite: Gaubert M P (1904) Produits de d?shydratation de quelques phosphates et orientation du chlorure de baryum sur les min?raux du groupe de l?autunite, Bulletin de la Soci?t? Fran?aise de Min?ralogie 27, 222-233"
gcmin:metatorbernite	gcmin:mindatid	min-2689
gcmin:metatorbernite	gcmin:localitycount	527
gcmin:metatorbernite	gcmin:crystalsystem	"tetragonal, monoclinic"
gcmin:metatorbernite	skos:exactMatch	<https://www.mindat.org/1:1:2689:1>
gcmin:metatorbernite	rdf:type	skos:Concept
gcmin:metatorbernite	gcmin:strunzlabel	"Uranyl phosphate or arsenate, UO2:RO4á= 1:1"
gcmin:metatorbernite	gcmin:rruffids	R040171 | R070509 | R070686 | R070683 | R120014 | R130109 | R140872
gcmin:metatorbernite	gcmin:wikipediadate	1916
gcmin:metatorbernite	gcmin:imachemistry	Cu(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>?8H<sub>2</sub>O
gcmin:metatorbernite	skos:exactMatch	<http://www.wikidata.org/entity/Q946311>
gcmin:metatorbernite	gcmin:webmineralurl	http://www.webmineral.com/data/Metatorbernite.shtml
gcmin:metatorbernite	rdfs:label	Metatorbernite
gcmin:metatorbernite	skos:exactMatch	gsqmin:metatorbernite
gcmin:metatorbernite	gcmin:chemistryelements	Cu | U | O | P | H
gcmin:metatorbernite	gcmin:fleischersgroup	autunite
gcmin:metatorbernite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/metatorbernite.pdf
gcmin:metatorbernite	skos:inScheme	gcmin:conceptScheme
gcmin:metatorbernite	gcmin:rruffnameplain	Metatorbernite
gcmin:metatorbernite	gcmin:mindaturl	http://www.mindat.org/min-2689.html
gcmin:metatorbernite	gcmin:iupacchemname	IUPAC: Copper diuranyl diphosphate octahydrate
gcmin:metatorbernite	gcmin:imastatus	Grandfathered|Approved
gcmin:metatorbernite	gcmin:rruffnamehtml	Metatorbernite
gcmin:metatorbernite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29311>
gcmin:metatorbernite	gcmin:rruffchemistry	Cu<sup>2+</sup>(U<sup>6+</sup>O<sub>2</sub>)<sub>2</sub>(P<sup>5+</sup>O<sub>4</sub>)<sub>2</sub>?8H<sub>2</sub>O
gcmin:metatorbernite	gcmin:statusnotes	"Hallimond A F (1916) The crystallography and dehydration of torbernite, Mineralogical Magazine 17, 326-339"
gcmin:metatorbernite	gcmin:strunzcodeV10	08.EB.10
gcmin:metatorbernite	skos:prefLabel	Metatorbernite
gcmin:microcline	skos:exactMatch	<https://www.mindat.org/1:1:2704:1>
gcmin:microcline	gcmin:structuralgroup	Feldspar
gcmin:microcline	gcmin:statusnotes	"Originally named Mikroklin: Breithaupt A (1830) Ueber die Felsite und einige deue Specien ihres Geschlechts, Journal f?r Chemie und Physik 60, 316-330"
gcmin:microcline	gcmin:rruffnameplain	Microcline
gcmin:microcline	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/microcline.pdf
gcmin:microcline	gcmin:fleischersgroup	feldspar
gcmin:microcline	gcmin:wikipediadate	1830
gcmin:microcline	skos:broader	<https://w3id.org/geochem/1.0/mingroup/9581>
gcmin:microcline	rdfs:label	Microcline
gcmin:microcline	rdf:type	skos:Concept
gcmin:microcline	gcmin:strunzlabel	Tektosilicate without additional non-tetrahedral anions
gcmin:microcline	gcmin:strunzcodeV10	09.FA.30
gcmin:microcline	gcmin:mindatid	min-2704
gcmin:microcline	gcmin:rruffchemistry	KAlSi<sub>3</sub>O<sub>8</sub>
gcmin:microcline	gcmin:crystalsystem	triclinic
gcmin:microcline	gcmin:mindaturl	http://www.mindat.org/min-2704.html
gcmin:microcline	skos:exactMatch	<http://www.wikidata.org/entity/Q421841>
gcmin:microcline	gcmin:imachemistry	K(AlSi<sub>3</sub>O<sub>8</sub>)
gcmin:microcline	gcmin:chemistryelements	K | Al | Si | O
gcmin:microcline	skos:exactMatch	gsqmin:microcline
gcmin:microcline	gcmin:rruffids	R040154 | R050054 | R050150 | R050193 | R120005 | R150015
gcmin:microcline	gcmin:localitycount	6103
gcmin:microcline	skos:inScheme	gcmin:conceptScheme
gcmin:microcline	skos:prefLabel	Microcline
gcmin:microcline	gcmin:rruffnamehtml	Microcline
gcmin:microcline	gcmin:imastatus	Grandfathered|Approved
gcmin:microcline	gcmin:webmineralurl	http://www.webmineral.com/data/Microcline.shtml
gcmin:millerite	gcmin:iupacchemname	IUPAC: Nickel sulfide
gcmin:millerite	gcmin:rruffnamehtml	Millerite
gcmin:millerite	rdfs:label	Millerite
gcmin:millerite	gcmin:imachemistry	NiS
gcmin:millerite	gcmin:webmineralurl	http://www.webmineral.com/data/Millerite.shtml
gcmin:millerite	gcmin:statusnotes	"Haidinger W (1845) Zweite Klasse: Geogenide. XIII. Ordnung. Kiese. IV. Eisenkies. Millerit., in Handbuch der Bestimmenden Mineralogie, Bei Braum?ller and Seidel (Wien) 559-562"
gcmin:millerite	skos:exactMatch	gsqmin:millerite
gcmin:millerite	gcmin:strunzcodeV10	02.CC.20
gcmin:millerite	gcmin:rruffchemistry	NiS
gcmin:millerite	gcmin:imastatus	Grandfathered|Approved
gcmin:millerite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/millerite.pdf
gcmin:millerite	skos:prefLabel	Millerite
gcmin:millerite	skos:exactMatch	<http://www.wikidata.org/entity/Q411068>
gcmin:millerite	gcmin:structuralgroup	Millerite
gcmin:millerite	gcmin:rruffids	R060898 | R070323 | R080122
gcmin:millerite	rdf:type	skos:Concept
gcmin:millerite	gcmin:crystalsystem	hexagonal
gcmin:millerite	gcmin:rruffnameplain	Millerite
gcmin:millerite	gcmin:mindaturl	http://www.mindat.org/min-2711.html
gcmin:millerite	gcmin:mindatid	min-2711
gcmin:millerite	gcmin:chemistryelements	Ni | S
gcmin:millerite	gcmin:wikipediadate	1845
gcmin:millerite	gcmin:localitycount	1316
gcmin:millerite	gcmin:strunzlabel	"Metal sulfide (M = S) with Ni, Fe, Co, PGE, etc."
gcmin:millerite	skos:inScheme	gcmin:conceptScheme
gcmin:millerite	skos:broader	strunz:s02_CC
gcmin:millerite	skos:exactMatch	<https://www.mindat.org/1:1:2711:9>
gcmin:mimetite	gcmin:webmineralurl	http://www.webmineral.com/data/Mimetite.shtml
gcmin:mimetite	gcmin:imachemistry	Pb<sub>5</sub>(AsO<sub>4</sub>)<sub>3</sub>Cl
gcmin:mimetite	gcmin:iupacchemname	IUPAC: Pentalead triarsenate chloride
gcmin:mimetite	skos:prefLabel	Mimetite
gcmin:mimetite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/mimetite.pdf
gcmin:mimetite	gcmin:structuralgroup	Apatite
gcmin:mimetite	gcmin:rruffchemistry	Pb<sup>2+</sup><sub>5</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>3</sub>Cl
gcmin:mimetite	gcmin:rruffnameplain	Mimetite
gcmin:mimetite	rdfs:label	Mimetite
gcmin:mimetite	gcmin:fleischersgroup	apatite
gcmin:mimetite	gcmin:strunzcodeV10	08.BN.05
gcmin:mimetite	gcmin:crystalsystem	"hexagonal, monoclinic"
gcmin:mimetite	skos:exactMatch	gsqmin:mimetite
gcmin:mimetite	gcmin:strunzlabel	"Phosphate, etc. with additional anions, without H2O, With only large cations, (OH, etc.):RO4á= 0.33:1"
gcmin:mimetite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/32275>
gcmin:mimetite	gcmin:statusnotes	"Beudant F S (1832) Mimet?se, plomb ars?niat?, in Trait? ?l?mentaire de Min?ralogie, 2nd Edition, (Paris) 594-595"
gcmin:mimetite	gcmin:localitycount	1373
gcmin:mimetite	gcmin:rruffnamehtml	Mimetite
gcmin:mimetite	gcmin:wikipediadate	1832
gcmin:mimetite	gcmin:chemistryelements	Pb | As | O | Cl
gcmin:mimetite	gcmin:mindatid	min-2714
gcmin:mimetite	skos:exactMatch	<http://www.wikidata.org/entity/Q424328>
gcmin:mimetite	gcmin:mindaturl	http://www.mindat.org/min-2714.html
gcmin:mimetite	gcmin:imastatus	Grandfathered|Approved
gcmin:mimetite	gcmin:rruffids	R040123 | R050007 | R050527 | R130731 | R060920 | R070309
gcmin:mimetite	rdf:type	skos:Concept
gcmin:mimetite	skos:inScheme	gcmin:conceptScheme
gcmin:mimetite	skos:exactMatch	<https://www.mindat.org/1:1:2714:0>
gcmin:molybdenite	gcmin:localitycount	6872
gcmin:molybdenite	gcmin:chemistryelements	Mo | S
gcmin:molybdenite	gcmin:strunzcodeV10	02.EA.30
gcmin:molybdenite	gcmin:webmineralurl	http://www.webmineral.com/data/Molybdenite.shtml
gcmin:molybdenite	gcmin:fleischersgroup	molybdenite
gcmin:molybdenite	skos:inScheme	gcmin:conceptScheme
gcmin:molybdenite	gcmin:rruffnameplain	Molybdenite
gcmin:molybdenite	skos:prefLabel	Molybdenite
gcmin:molybdenite	rdfs:label	Molybdenite
gcmin:molybdenite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/molybdenite.pdf
gcmin:molybdenite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/34951>
gcmin:molybdenite	gcmin:strunzlabel	"Metal sulfide, M: S <= 1:2 with Cu, Ag, Au"
gcmin:molybdenite	gcmin:rruffids	R050209 | R060124
gcmin:molybdenite	skos:exactMatch	<https://www.mindat.org/1:1:2746:1>
gcmin:molybdenite	gcmin:iupacchemname	IUPAC: Molybdenum sulfide
gcmin:molybdenite	skos:exactMatch	gsqmin:molybdenite
gcmin:molybdenite	gcmin:mindaturl	http://www.mindat.org/min-2746.html
gcmin:molybdenite	gcmin:rruffnamehtml	Molybdenite
gcmin:molybdenite	gcmin:imachemistry	MoS<sub>2</sub>
gcmin:molybdenite	skos:exactMatch	<http://www.wikidata.org/entity/Q382994>
gcmin:molybdenite	gcmin:mindatid	min-2746
gcmin:molybdenite	gcmin:statusnotes	"Kirwan R (1796) Chapter XIX. Molybdenite, in Elements of Mineralogy, Volume 2, P. Elmsly (London) 319-323"
gcmin:molybdenite	rdf:type	skos:Concept
gcmin:molybdenite	gcmin:structuralgroup	Molybdenite
gcmin:molybdenite	gcmin:rruffchemistry	Mo<sup>4+</sup>S<sup>2-</sup><sub>2</sub>
gcmin:molybdenite	gcmin:crystalsystem	hexagonal
gcmin:molybdenite	gcmin:imastatus	Grandfathered|Approved
gcmin:molybdenite	gcmin:wikipediadate	1796
gcmin:monazite-ce	rdfs:label	Monazite-(Ce)
gcmin:monazite-ce	gcmin:strunzcodeV10	08.AD.50
gcmin:monazite-ce	gcmin:mindaturl	http://www.mindat.org/min-2751.html
gcmin:monazite-ce	gcmin:iupacchemname	IUPAC: Cerium phosphate
gcmin:monazite-ce	gcmin:rruffnameplain	Monazite-(Ce)
gcmin:monazite-ce	gcmin:wikipediadate	1829
gcmin:monazite-ce	gcmin:crystalsystem	monoclinic
gcmin:monazite-ce	gcmin:imastatus	Renamed|Approved
gcmin:monazite-ce	gcmin:localitycount	1248
gcmin:monazite-ce	gcmin:chemistryelements	Ce | P | O
gcmin:monazite-ce	rdf:type	skos:Concept
gcmin:monazite-ce	skos:inScheme	gcmin:conceptScheme
gcmin:monazite-ce	skos:exactMatch	<https://www.mindat.org/1:1:2751:5>
gcmin:monazite-ce	gcmin:fleischersgroup	monazite
gcmin:monazite-ce	skos:exactMatch	<http://www.wikidata.org/entity/Q3860580>
gcmin:monazite-ce	gcmin:rruffids	R040106 | R060925 | R120081 | R120146
gcmin:monazite-ce	gcmin:statusnotes	"Breithaupt A (1829) Neue krystallographische Bestimmung und mineralogische Charakteristik verschiedener Mineralspecien, II. Ueber den Monazit, eine neue Specie des Mineral-Reichs, Journal f?r Chemie und Physik 55, 296-306 Name changed from monazite: Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042"
gcmin:monazite-ce	skos:prefLabel	Monazite-(Ce)
gcmin:monazite-ce	gcmin:rruffnamehtml	Monazite-(Ce)
gcmin:monazite-ce	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/monazite-Ce
gcmin:monazite-ce	gcmin:imachemistry	Ce(PO<sub>4</sub>)
gcmin:monazite-ce	gcmin:webmineralurl	http://www.webmineral.com/data/Monazite-%28Ce%29.shtml
gcmin:monazite-ce	skos:exactMatch	gsqmin:monazite-ce
gcmin:monazite-ce	gcmin:strunzlabel	"Phosphate, etc. without additional anions, without H2O, With only large cations"
gcmin:monazite-ce	gcmin:rruffchemistry	CePO<sub>4</sub>
gcmin:monazite-ce	gcmin:structuralgroup	Monazite
gcmin:monazite-ce	skos:broader	<https://w3id.org/geochem/1.0/mingroup/2750>
gcmin:monazite-ce	gcmin:mindatid	min-2751
gcmin:montmorillonite	gcmin:fleischersgroup	smectite
gcmin:montmorillonite	gcmin:imachemistry	"(Na,Ca)<sub>0.3</sub>(Al,Mg)<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>?nH<sub>2</sub>O"
gcmin:montmorillonite	gcmin:wikipediadate	1847
gcmin:montmorillonite	gcmin:chemistryelements	Na | Ca | Al | Mg | Si | O | H
gcmin:montmorillonite	gcmin:structuralgroup	Smectite-vermiculite
gcmin:montmorillonite	gcmin:rruffids	R110052 | R110053
gcmin:montmorillonite	skos:exactMatch	gsqmin:montmorillonite
gcmin:montmorillonite	gcmin:rruffchemistry	"(Na,Ca)<sub>0.3</sub>(Al,Mg)<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>?nH<sub>2</sub>O"
gcmin:montmorillonite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/11119>
gcmin:montmorillonite	skos:exactMatch	<https://www.mindat.org/1:1:2821:5>
gcmin:montmorillonite	gcmin:mindaturl	http://www.mindat.org/min-2821.html
gcmin:montmorillonite	gcmin:imastatus	Grandfathered|Approved
gcmin:montmorillonite	gcmin:statusnotes	"Originally named montmorillonniste: Mauduyt L (1847) Un mot sur un morceau de quartz d'une vari?t? particuli?re, ainsi que sur une substance min?rale trouv?e dans le d?partement de la Vienne, Bulletin de la Soci?t? G?ologique de France 4, 168-170"
gcmin:montmorillonite	skos:prefLabel	Montmorillonite
gcmin:montmorillonite	gcmin:mindatid	min-2821
gcmin:montmorillonite	skos:exactMatch	<http://www.wikidata.org/entity/Q422131>
gcmin:montmorillonite	skos:inScheme	gcmin:conceptScheme
gcmin:montmorillonite	gcmin:rruffnamehtml	Montmorillonite
gcmin:montmorillonite	gcmin:rruffnameplain	Montmorillonite
gcmin:montmorillonite	rdf:type	skos:Concept
gcmin:montmorillonite	gcmin:crystalsystem	"monoclinic, unknown, triclinic"
gcmin:montmorillonite	rdfs:label	Montmorillonite
gcmin:montmorillonite	gcmin:strunzlabel	"Phyllosilicate with mica sheets, composed of tetrahedral and octahedral nets"
gcmin:montmorillonite	gcmin:webmineralurl	http://www.webmineral.com/data/Montmorillonite.shtml
gcmin:montmorillonite	gcmin:strunzcodeV10	09.EC.40
gcmin:montmorillonite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/montmorillonite.pdf
gcmin:montmorillonite	skos:broader	gcmin:smectitegroup
gcmin:montmorillonite	gcmin:localitycount	1865
gcmin:mordenite	gcmin:statusnotes	"How H (1864) On mordenite, a new mineral from the trap of Nova Scotia, Journal of the Chemical Society 17, 100-104"
gcmin:mordenite	gcmin:rruffnameplain	Mordenite
gcmin:mordenite	rdf:type	skos:Concept
gcmin:mordenite	skos:exactMatch	<http://www.wikidata.org/entity/Q422058>
gcmin:mordenite	gcmin:strunzlabel	Zeolite family: Chains of 6-membered rings û tabular zeolites
gcmin:mordenite	skos:prefLabel	Mordenite
gcmin:mordenite	gcmin:rruffnamehtml	Mordenite
gcmin:mordenite	gcmin:imachemistry	"(Na<sub>2</sub>,Ca,K<sub>2</sub>)<sub>4</sub>(Al<sub>8</sub>Si<sub>40</sub>)O<sub>96</sub>?28H<sub>2</sub>O"
gcmin:mordenite	skos:exactMatch	<https://www.mindat.org/1:1:2779:9>
gcmin:mordenite	gcmin:mindatid	min-2779
gcmin:mordenite	gcmin:wikipediadate	1864
gcmin:mordenite	gcmin:mindaturl	http://www.mindat.org/min-2779.html
gcmin:mordenite	gcmin:crystalsystem	orthorhombic
gcmin:mordenite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/4395>
gcmin:mordenite	gcmin:webmineralurl	http://www.webmineral.com/data/Mordenite.shtml
gcmin:mordenite	gcmin:rruffchemistry	"(Na<sub>2</sub>,Ca,K<sub>2</sub>)<sub>4</sub>(Al<sub>8</sub>Si<sub>40</sub>)O<sub>96</sub>?28H<sub>2</sub>O"
gcmin:mordenite	gcmin:rruffids	R061118 | R070524
gcmin:mordenite	gcmin:fleischersgroup	zeolite
gcmin:mordenite	skos:exactMatch	gsqmin:mordenite
gcmin:mordenite	gcmin:chemistryelements	Na | Ca | K | Al | Si | O | H
gcmin:mordenite	skos:broader	strunz:s09_GD
gcmin:mordenite	gcmin:strunzcodeV10	09.GD.35
gcmin:mordenite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/mordenite.pdf
gcmin:mordenite	gcmin:localitycount	511
gcmin:mordenite	gcmin:imastatus	Approved
gcmin:mordenite	skos:inScheme	gcmin:conceptScheme
gcmin:mordenite	rdfs:label	Mordenite
gcmin:mottramite	skos:inScheme	gcmin:conceptScheme
gcmin:mottramite	gcmin:strunzcodeV10	08.BH.40
gcmin:mottramite	gcmin:crystalsystem	orthorhombic
gcmin:mottramite	skos:broader	<https://w3id.org/geochem/1.0/mingroup/29251>
gcmin:mottramite	gcmin:webmineralurl	http://www.webmineral.com/data/Mottramite.shtml
gcmin:mottramite	gcmin:statusnotes	"Roscoe H E (1876) On two new vanadiium minerals, Proceedings of the Royal Society of London 25, 109-112"
gcmin:mottramite	gcmin:rruffnameplain	Mottramite
gcmin:mottramite	skos:exactMatch	<http://www.wikidata.org/entity/Q417285>
gcmin:mottramite	gcmin:handbookofmineralogyurl	https://www.handbookofmineralogy.org/pdfs/mottramite.pdf
gcmin:mottramite	gcmin:rruffnamehtml	Mottramite
gcmin:mottramite	gcmin:imachemistry	PbCu(VO<sub>4</sub>)(OH)
gcmin:mottramite	gcmin:rruffchemistry	Pb<sup>2+</sup>Cu<sup>2+</sup>V<sup>5+</sup>O<sub>4</sub>(OH)
gcmin:mottramite	gcmin:wikipediadate	1876
gcmin:mottramite	gcmin:imastatus	Grandfathered|Approved
gcmin:mottramite	skos:exactMatch	<https://www.mindat.org/1:1:2792:8>
gcmin:mottramite	gcmin:chemistryelements	Pb | Cu | V | O | H
gcmin:mottramite	gcmin:structuralgroup	Descloizite
gcmin:mottramite	gcmin:mindatid	min-2792
gcmin:mottramite	gcmin:fleischersgroup	adelite-descloizite-descloizite subgroup
gcmin:mottramite	gcmin:mindaturl	http://www.mindat.org/min-2792.html
gcmin:mottramite	gcmin:rruffids	R050517 | R050521 | R120112
gcmin:mottramite	rdf:type	skos:Concept
gcmin:mottramite	rdfs:label	Mottramite
gcmin:mottramite	gcmin:strunzlabel	"Phosphate, etc. with additional anions, without H2O, With medium-sized and large cations, (OH,etc.):RO4á= 1:1"
gcmin:mottramite	skos:prefLabel	Mottramite
gcmin:mottramite	gcmin:localitycount	479
gcmin:mottramite	gcmin:iupacchemname	IUPAC: Lead copper vanadate hydroxyl
gcmin:mottramite	skos:exactMatch	gsqmin:mottramite
