databaseMethod,uri,label,Notation,essdmNOTATION
Seismic velocities and rock ultrasonic elastic constants,meth:seismicvelocitiesandrockultrasonicelasticconstants,Seismic velocity and ultrasonic elastic constant measurement,SV-RUEC,
Seismic velocity and ultrasonic elastic constant measurement,meth:seismicvelocitiesandrockultrasonicelasticconstants,Seismic velocity and ultrasonic elastic constant measurement,SV-RUEC,
Sensitive High Resolution Ion MicroProbe,meth:secondaryionizationmassspectrometry,Secondary ionization mass spectrometry,SIMS,SHRIMP
SENSITIVE HIGH-MASS-RESOLUTION ION MICROPROBE,meth:secondaryionizationmassspectrometry,Secondary ionization mass spectrometry,SIMS,
SENSITIVE HIGH-MASS-RESOLUTION ION MICROPROBE ANALYSIS,meth:secondaryionizationmassspectrometry,Secondary ionization mass spectrometry,SIMS,
SENSITIVE HIGH-MASS-RESOLUTION ION MICROPROBE-REVERSE GEOMETRY,meth:secondaryionizationmassspectrometry,Secondary ionization mass spectrometry,SIMS,
SENSITIVE HIGH-MASS-RESOLUTION ION MICROPROBE-REVERSE GEOMETRY ANALYSIS,meth:secondaryionizationmassspectrometry,Secondary ionization mass spectrometry,SIMS,
Shot gun sequencing,meth:shotgunmethod,Shotgun method,,
Shotgun method,meth:shotgunmethod,Shotgun method,,
SINGLE CRYSTAL LASER FUSION ANALYSIS,meth:laserablationmassspectrometry,Laser ablation mass spectrometry,LAMS,
SINGLE CRYSTAL LASER FUSION TECHNIQUE,meth:laserablationmassspectrometry,Laser ablation mass spectrometry,LAMS,
Single crystal X-ray diffraction,meth:singlecrystalxraydiffraction,Single crystal X-ray diffraction,,
Solid source mass spectrometry,meth:solidsourcemassspectrometry,Solid source mass spectrometry,SOSMS,
Solid state nuclear magnetic resonance spectrometry,meth:solidstatenuclearmagneticresonancespectroscopy,Solid state nuclear magnetic resonance spectroscopy,SS-NMR,
Solid state nuclear magnetic resonance spectroscopy,meth:solidstatenuclearmagneticresonancespectroscopy,Solid state nuclear magnetic resonance spectroscopy,SS-NMR,
SOLID-SOURCE MASS SPECTROMETRY,meth:solidsourcemassspectrometry,Solid source mass spectrometry,SOSMS,
SOLUTION-NEBULIZED INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:liquidinletinductivelycoupledplasmamassspectrometry,Liquid inlet inductively coupled plasma mass spectrometry,SNICPMS,
Spark source mass spectrometry,meth:sparksourcemassspectrometry,Spark source mass spectrometry,SSMS,SSMS
SPARK SOURCE MASS SPECTROMETRY - ISOTOPE DILUTION,meth:sparksourcemassspectrometry,Spark source mass spectrometry,SSMS,SS-ID
SPARK-SOURCE MASS SPECTROMETRY,meth:sparksourcemassspectrometry,Spark source mass spectrometry,SSMS,
SPARK-SOURCE MASS SPECTROMETRY AND CALIBRATION WITH RELATIVE SENSITIVITY FACTOR,meth:sparksourcemassspectrometry,Spark source mass spectrometry,SSMS,
SPECIFIC ION ELECTRODE,meth:ionsensitiveelectrodeanalysis,Ion sensitive electrode analysis,ISE,
SPECIFIC ION ELECTRODE ANALYSIS,meth:ionsensitiveelectrodeanalysis,Ion sensitive electrode analysis,ISE,
SPECTROCHEMISTRY,meth:spectrometry,Spectrometry,SPEC,
Spectrofluorometry,meth:fluorescencespectrometry,Fluorescence spectrometry,AFS,
SPECTROGRAPHIC ANALYSIS,meth:spectrometry,Spectrometry,SPEC,SPEC
SPECTROGRAPHY,meth:spectrometry,Spectrometry,SPEC,
Spectrometry,meth:spectrometry,Spectrometry,SPEC,
Spectrophotometry,meth:spectrophotometry,Spectrophotometry,SP-PH,SP-PH
Spherical cell bulk thermal conductivity analysis,meth:sphericalcellbulkthermalconductivityanalysis,Spherical cell bulk thermal conductivity analysis,SCBTCA,
STANDARD ADDITION SOLUTION INDUCTIVELY-COUPLED PLASMA MASS-SPECTROMETRY,meth:liquidinletinductivelycoupledplasmamassspectrometry,Liquid inlet inductively coupled plasma mass spectrometry,SNICPMS,
STEPPED HEATING,wrkf:steppedheating,,,
STEPPED HEATING ANALYSIS,wrkf:steppedheating,,,
Stepped heating carbon and nitrogen isotopic analysis,meth:steppedheatingcarbonandnitrogenisotopicanalysis,Stepped heating carbon and nitrogen isotopic analysis,FINESSE,
Stepped heating carbon and nitrogen isotopic compositions,meth:steppedheatingcarbonandnitrogenisotopicanalysis,Stepped heating carbon and nitrogen isotopic analysis,FINESSE,
Structured light scanning,meth:structuredlightscanning,Structured light scanning,SLS,
Surface analysis,meth:surfaceanalysis,Surface analysis,xSA,
Synchotron X-Ray Fluorescence Analysis,meth:synchrotonxrayfluorescencespectrometry,Synchroton X-ray fluorescence spectrometry,S-XRF,SXRF
SYNCHROTON X-RAY FLUORESCENCE ANALYSIS,meth:synchrotonxrayfluorescencespectrometry,Synchroton X-ray fluorescence spectrometry,S-XRF,
Synchroton X-ray fluorescence spectrometry,meth:synchrotonxrayfluorescencespectrometry,Synchroton X-ray fluorescence spectrometry,S-XRF,
synchrotron radiation induced X-ray fluorescence analysis,meth:synchrotonxrayfluorescencespectrometry,Synchroton X-ray fluorescence spectrometry,S-XRF,
Synchrotron X-ray fluorescence tomography,meth:synchrotronxrayfluorescencetomography,Synchrotron X-ray fluorescence tomography,SXRFTomographicImage,
Synchrotron-based X-ray Fluorescence Spectroscopy,meth:synchrotonxrayfluorescencespectrometry,Synchroton X-ray fluorescence spectrometry,S-XRF,
TEMPERATURE PROGRAMMED DESORPTION ELECTRON PROBE,meth:temperatureprogrammeddesorptionelectronprobeanalysis,Temperature programmed desorption electron probe analysis,TPD,
Temperature programmed desorption electron probe analysis,meth:temperatureprogrammeddesorptionelectronprobeanalysis,Temperature programmed desorption electron probe analysis,TPD,
Tensiometry,meth:tensiometry,Tensiometry,,
Thermal analysis,meth:thermalanalysis,Thermal analysis,xTA,
THERMAL CONDUCTIVITY DETECTOR,meth:gaschromatographythermalconductivitydetection,Gas chromatography thermal conductivity detection,GC-TCD,
THERMAL CONDUCTIVITY DETECTOR ANALYSIS,meth:gaschromatographythermalconductivitydetection,Gas chromatography thermal conductivity detection,GC-TCD,
THERMAL CONVERSION ELEMENTAL ANALYSIS,meth:elementalanalysis,Elemental analysis ,,
THERMAL CONVERSION ELEMENTAL ANALYZER,meth:elementalanalysis,Elemental analysis ,,
Thermal ionization mass spectrometry,meth:thermalionizationmassspectrometry,Thermal ionization mass spectrometry,TIMS,TIMS
THERMAL IONIZATION MASS SPECTROMETRY ISOTOPE DILUTION,meth:thermalionizationmassspectrometry,Thermal ionization mass spectrometry,TIMS,TIMS-ID
Thermal neutron activation analysis,meth:thermalneutronactivationanalysis,Thermal neutron activation analysis,,
THERMAL-IONIZATION MASS SPECTROMETRY,meth:thermalionizationmassspectrometry,Thermal ionization mass spectrometry,TIMS,
Thermogravimetric analysis,meth:thermogravimetryanalysis,Thermogravimetry analysis,TGA,
THERMOGRAVIMETRIC AND DIFFERENTIAL ANALYZER,meth:thermogravimetryanalysis,Thermogravimetry analysis,TGA,
Thermogravimetry analysis,meth:thermogravimetryanalysis,Thermogravimetry analysis,TGA,
Titration,meth:titration,Titration,TIT,TITR
TITRATION ANALYSIS,meth:titration,Titration,TIT,
TOF-SIMS,meth:secondaryionizationmassspectrometry,Secondary ionization mass spectrometry,SIMS,TOF-SIMS
TOTAL COMBUSTION,meth:combustionanalysis,Combustion analysis,COMB,
TOTAL COMBUSTION ANALYSIS,meth:combustionanalysis,Combustion analysis,COMB,
TOTAL DIGESTION INDUCTIVELY COUPLED PLASMA EMISSION SPECTROMETRY,meth:inductivelycoupledplasmaemissionspectrometry,Inductively coupled plasma emission spectrometry,ICPES,
TOTAL DIGESTION-INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,meth:liquidinletinductivelycoupledplasmamassspectrometry,Liquid inlet inductively coupled plasma mass spectrometry,SNICPMS,
total reflection X- ray fluorescence analysis,meth:totalreflectionxrayfluorescencespectrometry,Total reflection X-ray fluorescence spectrometry,TXRF,
TOTAL REFLECTION X-RAY FLUORESCENCE ANALYSIS,meth:totalreflectionxrayfluorescencespectrometry,Total reflection X-ray fluorescence spectrometry,TXRF,
Total reflection X-ray fluorescence spectrometry,meth:totalreflectionxrayfluorescencespectrometry,Total reflection X-ray fluorescence spectrometry,TXRF,
Track counting,meth:trackcounting,Track counting,xTC,
Transmission electron imaging,meth:transmissionelectronimaging,Transmission electron imaging,TEM,
Transmission electron microscopy,meth:transmissionelectronimaging,Transmission electron imaging,TEM,
TRANSMISSION ELECTRON MICROSCOPY- ENERGY-DISPERSIVE X-RAY SPECTROSCOPY,meth:energydispersiveelectroninducedxrayspectrometry,Energy dispersive electron induced X-ray spectrometry,EEDS,TEM-EDS
TRANSMISSION IR SPECTROSCOPY,meth:infraredtransmissionspectrometry,Infrared transmission spectrometry,TIRS,
Transmission spectrometry,meth:transmissionspectrometry,Transmission spectrometry,xTSPEC,
Transmitted electron diffraction,meth:transmittedelectrondiffraction,Transmitted electron diffraction,,
ULTRASONIC NEBULIZATION INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRY,meth:liquidinletinductivelycoupledplasmamassspectrometry,Liquid inlet inductively coupled plasma mass spectrometry,SNICPMS,
ULTRAVIOLET EMISSION SPECTROGRAPHY,meth:ultravioletemissionspectrometry,Ultraviolet emission spectrometry,UVES,UV-ES
Ultraviolet emission spectrometry,meth:ultravioletemissionspectrometry,Ultraviolet emission spectrometry,UVES,
Ultraviolet laser ablation,wrkf:ultravioletlaserablation,,,
ultraviolet laser ablation microprobe,wrkf:ultravioletlaserablation,,,UVLAMP
ULTRAVIOLET LASER ABLATION MICROPROBE ANALYSIS,wrkf:ultravioletlaserablation,,,
UNKNOWN,meth:analyticalmethod,Analytical method,,Unknown
VACUUM FUSION,wrkf:vacuumpyrolysis,,,VAC-F
VACUUM FUSION ANALYSIS,wrkf:vacuumpyrolysis,,,
VACUUM FUSION TECHNIQUE,wrkf:vacuumpyrolysis,,,
VACUUM PYROLYSIS,wrkf:vacuumpyrolysis,,,VAC PYRO
Visible light microscopy,meth:visiblelightmicroscopy,Visible light microscopy,VLM,
"Visible, near-infrared, and mid-infrared (VNMIR)  2D spectral raster SwRI micro-FTIR",meth:visiblenearinfraredandmidinfraredimaging,"Visible, near-infrared, and mid-infrared imaging",VNMIR,
"Visible, near-infrared, and mid-infrared imaging",meth:visiblenearinfraredandmidinfraredimaging,"Visible, near-infrared, and mid-infrared imaging",VNMIR,
VOLTAMETRY,meth:voltammetry,Voltammetry,VOLT,
Voltammetry,meth:voltammetry,Voltammetry,VOLT,
VOLUMETRIC ANALYSIS,meth:titration,Titration,TIT,VOL
VOLUMETRY,meth:titration,Titration,TIT,
Water by difference calculation,wrkf:waterbydifferencecalculation,,,
WATER-BY-DIFFERENCE,wrkf:waterbydifferencecalculation,,,
WATER-BY-DIFFERENCE ANALYSIS,wrkf:waterbydifferencecalculation,,,
Wavelength dispersive electron induced X-ray spectrometry,meth:wavelengthdispersiveelectroninducedxrayspectrometry,Wavelength dispersive electron induced X-ray spectrometry,WDS,
Wavelength-dispersive X-ray fluorescence analysis,meth:wavelengthdispersiveelectroninducedxrayspectrometry,Wavelength dispersive electron induced X-ray spectrometry,WDS,
Wet chemistry,meth:wetchemistry,Wet chemistry,WET,WET
WET-CHEMICAL ANALYSIS,meth:wetchemistry,Wet chemistry,WET,
X-RADIOGRAPHY,meth:xrayimaging,X-ray imaging,RAD,
X-ray absorption near edge structure (XANES) spectroscopy,meth:xrayabsorptionnearedgestructurespectrometry,X-ray absorption near edge structure spectrometry,XANES,
X-ray absorption near edge structure spectrometry,meth:xrayabsorptionnearedgestructurespectrometry,X-ray absorption near edge structure spectrometry,XANES,
X-RAY ABSORPTION NEAR-EDGE STRUCTURE SPECTROSCOPY,meth:xrayabsorptionnearedgestructurespectrometry,X-ray absorption near edge structure spectrometry,XANES,XANES
X-ray absorption spectrometry,meth:xrayabsorptionspectrometry,X-ray absorption spectrometry,XAS,
X-ray composition map,meth:xraymap,X-ray composition map,XMAP,
X-ray computed micro-tomography (XCMT),meth:xraycomputedtomography,X-ray computed tomography,XCT,
X-ray computed tomography,meth:xraycomputedtomography,X-ray computed tomography,XCT,XCT
X-ray crystallography,meth:singlecrystalxraydiffraction,Single crystal X-ray diffraction,,
X-ray diffraction,meth:xraydiffraction,X-ray diffraction,XRD,XRD
X-ray diffraction analysis,meth:xraydiffraction,X-ray diffraction,XRD,
X-ray diffraction snalysis,meth:xraydiffraction,X-ray diffraction,XRD,
X-RAY DIFFRACTION SPECTROMETRY,meth:xraydiffraction,X-ray diffraction,XRD,
X-RAY FLUORESCENCE,meth:xrayfluorescencespectrometry,X-ray fluorescence spectrometry,XRF,XRF
X-ray fluorescence analysis,meth:xrayfluorescencespectrometry,X-ray fluorescence spectrometry,XRF,
X-RAY FLUORESCENCE ANALYSIS,meth:xrayfluorescencespectrometry,X-ray fluorescence spectrometry,XRF,
X-ray fluorescence spectrometry,meth:xrayfluorescencespectrometry,X-ray fluorescence spectrometry,XRF,
X-ray Fluorescence spectroscopy,meth:xrayfluorescencespectrometry,X-ray fluorescence spectrometry,XRF,
X-ray imaging,meth:xrayimaging,X-ray imaging,RAD,
X-RAY MICROSCOPY ANALYSIS,meth:microscopicxrayimaging,Microscopic X-ray imaging,XRM,
X-ray photoelectron spectrometery,meth:xrayphotoelectronspectrometery,X-ray photoelectron spectrometery,XPS,
X-ray photoelectron spectrometry composition mapping,meth:xrayphotoelectronspectroscopycompositionmap,X-ray photoelectron spectrometry composition mapping,,
X-RAY PHOTOELECTRON SPECTROSCOPY,meth:xrayphotoelectronspectrometery,X-ray photoelectron spectrometery,XPS,
X-ray photoelectron spectroscopy (XPS) elemental/chemical maps,meth:xrayphotoelectronspectroscopycompositionmap,X-ray photoelectron spectrometry composition mapping,,
X-ray powder diffraction,meth:xraypowderdiffraction,X-ray powder diffraction,XRPD,
X-ray spectrometry,meth:xrayspectrometry,X-ray spectrometry,XRS,
XRF Spectroscopy,meth:xrayfluorescencespectrometry,X-ray fluorescence spectrometry,XRF,
XRM,meth:microscopicxrayimaging,Microscopic X-ray imaging,XRM,XRM
